Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_1.ltlf,Agent,0.01,0,0,0,0.01,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_2.ltlf,Agent,0.011,0,0,0,0.011,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_3.ltlf,Agent,0.01,0,0,0,0.01,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_4.ltlf,Agent,0.011,0,0,0,0.011,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_5.ltlf,Agent,0.01,0,0,0,0.01,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_6.ltlf,Agent,0.012,0,0,0,0.012,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_7.ltlf,Agent,0.012,0,0,0,0.012,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_8.ltlf,Agent,0.015,0,0,0,0.015,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_9.ltlf,Agent,0.016,0,0,0,0.016,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_1.ltlf,env_10.ltlf,Agent,0.018,0,0,0,0.018,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_1.ltlf,Agent,0.018,0.001,0,0,0.019,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_2.ltlf,Agent,0.017,0.001,0,0,0.018,Coop
Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_3.ltlf,Agent,0.013,0.003,0,0,0.016,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_4.ltlf,Agent,0.016,0.001,0,0,0.017,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_5.ltlf,Agent,0.017,0.001,0,0,0.018,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_6.ltlf,Agent,0.019,0.001,0,0,0.02,Adv
Symbolic-Compositional Best-Effort Synthesizer,goal_2.ltlf,env_7.ltlf,Agent,0.019,0.001,0,0,0.02,Adv
